tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
91400,330,25,1.370513421406999,3.350910906989467,4.827679833840048,9.082603227697657,30,107,30,19,7537,0,27,321,59,959,275
91500,331,24,1.3933108539946093,3.4115939658466754,4.46224255547514,8.754880902508223,32,105,32,28,7707,0,37,265,53,998,298
91600,338,33,1.400994137501036,3.2694457924175753,5.44019870202299,9.52199377412931,30,107,30,21,7892,0,38,299,61,1005,288
91700,330,22,1.4027550348766469,3.3232507005722156,4.4937939300465635,9.721409264093323,29,108,29,13,7671,0,32,298,48,957,290
91800,348,22,1.3899210511034366,3.301764644435597,4.691337879000046,9.201174412910042,30,107,29,19,7772,0,19,297,64,1011,262
91900,331,18,1.4050149925633217,3.2608301303692566,5.250854750083078,8.983036706858021,31,106,30,22,7874,0,23,282,62,1009,252
92000,342,35,1.4070958132932412,3.292323435246108,4.6762686287627755,9.013261366168043,32,105,31,16,7996,0,13,298,64,991,258
92100,323,55,1.437337858516611,3.2285343252192074,4.298018566821148,8.997312552652772,36,101,33,20,8359,0,25,273,79,978,294
92200,355,67,1.4394108491094684,3.209372895089983,5.256133214245408,9.68823120983016,36,101,34,23,8734,0,42,285,83,1039,292
92300,338,52,1.4610939773505656,3.366188276230357,6.364652389040195,9.81299991184351,35,102,34,18,8347,0,48,256,88,983,299
92400,363,38,1.4314355189910362,3.25137974162945,5.882779236502369,9.791900035181534,34,103,33,20,8605,0,31,298,112,1057,311
92500,364,56,1.4333242188116113,3.254790225641232,4.560475577484091,9.524623622593433,38,99,38,26,8642,0,18,318,91,1011,281
92600,348,29,1.4426053829741678,3.2719412300301207,4.628107646369424,9.245589732639521,34,103,34,14,7898,0,22,298,93,969,261
92700,333,24,1.4169169127668801,3.3410783757865814,4.846952070776373,8.710310047022121,29,108,29,14,7302,0,32,270,91,953,246
92800,330,39,1.3949819155565797,3.349201425423564,4.603210191382404,9.072796073594445,34,103,34,18,7731,0,26,301,98,1007,242
92900,327,29,1.4346365305830369,3.3014598943454208,3.9477956967353243,9.023568830842361,31,106,31,18,7492,0,11,314,91,944,232
93000,330,33,1.4184158271885132,3.352968019742554,4.518972903378013,8.980401212598888,34,103,34,25,7930,0,29,320,79,994,277
93100,339,42,1.4049291378536028,3.259157989456365,5.7452637415903665,9.622821694602264,29,108,29,18,7671,0,61,299,64,971,234
93200,311,43,1.366825264971017,3.3585935604213466,4.929878037854819,8.853605242753467,29,108,29,21,7464,0,41,283,72,967,196
93300,326,34,1.3731268328881285,3.320560887865146,6.219651673446954,10.043798542668203,29,108,29,18,8234,0,49,295,90,1048,253
93400,324,27,1.3719171832686845,3.319296026470949,6.465008036554087,9.884268468717385,32,105,32,21,7781,0,25,267,75,1041,238
93500,347,33,1.3788132386272027,3.365999718431911,5.534003927374131,10.093201842602216,33,104,33,19,7994,0,41,302,83,997,281
93600,352,27,1.3681237931797128,3.301421793970452,5.575372277264322,9.486898142658033,30,107,30,17,8060,0,46,331,84,1088,259
93700,347,17,1.3805987296796496,3.2567068347907444,5.542411920121351,9.189910503620458,31,106,31,19,7993,0,37,281,82,1061,280
93800,341,19,1.38734724845011,3.4338710895283957,5.884319456203375,9.74153329928996,30,107,30,22,7788,0,27,290,74,1012,289
93900,338,12,1.3529927937387447,3.412463575167522,5.7779432777834465,9.577060546436705,32,105,32,25,7654,0,31,290,74,1012,256
94000,316,32,1.3872510436452559,3.399414184228898,4.774946444104942,8.823598618290667,31,106,30,19,7872,0,11,316,72,942,244
94100,350,26,1.353645966863537,3.3233933312129915,4.7153126457306005,8.961961838170428,30,107,30,23,7782,0,47,284,91,1032,252
