tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
86200,1357,116,1.4017573710473166,3.1834064833590934,5.531311057470212,9.71398037726337,126,374,125,90,31452,0,0.8268121209047726,152
86300,1345,134,1.4086764544563772,3.1958293741037265,4.889777228673213,9.316200514161345,129,371,129,97,31102,0,0.7414971299724351,130
86400,1354,130,1.3870480988530622,3.2236634806832023,5.157567440667631,9.373776403437825,130,370,129,95,31669,0,0.7872166059946036,153
86500,1348,101,1.4030728233202334,3.207804676169456,5.3092547269584145,9.555593326599265,129,371,129,96,31631,0,0.8071445232386242,154
86600,1374,110,1.4114959951883959,3.2115658601400368,5.347176753422953,9.649021046129894,124,376,124,83,31869,0,0.8444014769385029,172
86700,1337,118,1.415254313548632,3.2297628508169645,4.8434853095761445,9.07732849149092,129,371,127,95,30984,0,0.7286311326729847,137
86800,1334,117,1.4071466923879843,3.2144120179659716,5.0632188356273335,9.337945742143479,131,369,129,99,31231,0,0.7837230957210841,137
86900,1350,109,1.395760842530173,3.227024633564319,5.110463939370016,9.427723071120184,131,369,130,102,30938,0,0.7753026858430576,144
87000,1352,142,1.4153383582457966,3.1530687287788317,4.909701600825759,9.199532015596525,117,383,116,80,31743,0,0.7398070270723376,146
87100,1280,126,1.397814079561171,3.2421920167293035,4.502874846010971,8.851293366225127,130,370,128,96,29752,0,0.6588855971696073,110
87200,1310,132,1.4011425733755882,3.2203403121128833,4.861673277338583,9.162227667250848,122,378,121,94,30866,0,0.7047749514396441,157
87300,1312,120,1.3843563085854433,3.2154199251829514,5.229758541555352,9.386279662457918,122,378,120,80,29795,0,0.7398036130611377,132
87400,1319,122,1.4031113104513482,3.22568493712964,4.764262930942356,9.076316645342398,132,368,130,103,30923,0,0.7093939967312464,147
87500,1320,140,1.420464816277021,3.196124230741702,5.290052149319959,9.467011413745826,127,373,127,94,31750,0,0.8000553686227101,159
87600,1310,133,1.4248413204570212,3.235793847455489,5.322549161292671,9.559829967535023,122,378,121,79,30311,0,0.7687538856777906,136
87700,1351,100,1.406263895647001,3.1955414130628284,4.643294012562085,9.0600193025758,121,379,121,76,30045,0,0.7026514918715366,104
87800,1324,122,1.4005532547380226,3.21956279632278,4.899497102209239,9.250809742604988,130,370,129,93,30446,0,0.7333790621126873,119
87900,1308,130,1.4032041338464936,3.2070526588394705,5.284275218978837,9.554501523450634,120,380,119,71,30295,0,0.7572964911637178,130
88000,1282,113,1.412861266472713,3.184987066823337,4.797307300090052,9.052955883617269,128,372,126,84,30498,0,0.6884800114705061,179
88100,1337,149,1.39799238147124,3.2132893276301253,5.274148564624304,9.581943208289314,130,370,129,103,31855,0,0.8340144667727099,169
88200,1397,143,1.4122911434464387,3.192760111887642,5.650317194246154,9.740063722869055,132,368,131,97,32853,0,0.8604800876226284,200
88300,1316,146,1.4162795099202063,3.2115706737761833,5.579295536022927,9.704457294653706,131,369,131,91,31711,0,0.8134733452406898,174
88400,1330,142,1.4168044191435039,3.2310281611934952,5.228060852845442,9.444413771847577,133,367,133,105,31686,0,0.7781917220932525,166
88500,1307,158,1.4145069418929217,3.2220132960914496,5.684143682878076,9.746987421494303,126,374,126,96,32202,0,0.8483077590149852,182
88600,1325,143,1.4249339100173366,3.204414590449108,5.274190264660855,9.623748433277465,124,376,123,82,31247,0,0.7652116826708166,158
88700,1333,154,1.4121680771563967,3.2300788898855433,5.1140294836365845,9.488407534041297,127,373,126,90,31587,0,0.7775843494926659,161
88800,1334,137,1.415781207730363,3.1813624154249847,4.713351369052797,9.126788522418371,129,371,129,97,30945,0,0.7107898550992141,125
88900,1364,129,1.3870381514858514,3.223164621959063,4.637806193666379,9.025743463740211,128,372,128,91,30498,0,0.6930758091207422,109
89000,1338,122,1.3973597664563724,3.2349195368100343,4.894824245833883,9.249212317938765,127,373,126,86,30679,0,0.7321066829468663,129
89100,1335,99,1.4059814879001622,3.2016841130253506,5.063659236154564,9.311222559043369,128,372,128,85,30961,0,0.7503393521019219,152
89200,1336,138,1.4111171450578892,3.208875601899464,5.074322389305482,9.43767954324462,134,366,132,95,31651,0,0.7726846029329235,151
89300,1380,155,1.4051775304025742,3.1889398852528466,4.855024442693796,9.24772821143184,122,378,122,84,31449,0,0.7488708214661561,122
89400,1335,108,1.395001906526885,3.2152211506323396,4.512778461174972,8.856524296971509,123,377,120,79,29430,0,0.6500447068880216,97
89500,1242,135,1.4053680082170938,3.2096086750202257,4.723328245101563,8.998597487345249,134,366,132,97,29687,0,0.6540047172770592,124
89600,1341,142,1.4008200318073292,3.2269823798660076,4.786991848466915,9.168573507493068,119,381,118,85,30697,0,0.715015093690003,133
89700,1286,112,1.3949933854359458,3.206579315950908,4.793074957630965,9.109329852259227,121,379,121,94,29173,0,0.6759185383332593,110
