tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
52600,303,26,1.548922029960593,3.187925155099458,5.874160587941472,10.010444532256528,40,97,0,0,11918,0,50,261,81,919,365
52700,312,34,1.5280134319007788,3.224732864830386,7.036815680965061,10.747602272340663,38,99,0,0,12727,0,67,251,79,979,362
52800,302,24,1.5244533400728377,3.195095092429072,7.006970860838508,10.310544216232685,35,102,0,0,12383,0,62,226,65,1016,346
52900,295,20,1.5420515713566325,3.30155412260598,7.146575297681336,10.594395264307416,36,101,0,0,12259,0,71,250,102,948,333
53000,290,26,1.5522256298909847,3.1973762326854427,6.398443603824798,9.591560303001092,38,99,0,0,12134,0,52,241,69,945,341
53100,309,10,1.5146660016376887,3.203000384075849,7.611152325228951,9.644990343462867,34,103,0,0,11760,0,76,243,73,961,317
53200,316,9,1.512033051876402,3.2233117752130913,5.979484240733466,9.702645633391377,38,99,0,0,12697,0,57,279,92,1045,384
53300,344,11,1.5259712381217339,3.1646741754151524,6.4157373012985595,10.325778189156534,39,98,0,0,11934,0,50,285,66,979,339
53400,318,24,1.5028334797516387,3.149425363924676,6.450755880325757,9.751306145207229,38,99,0,0,12600,0,54,257,45,1020,392
53500,329,29,1.5185670761680836,3.208764482034994,7.032330257934359,10.365038698272826,44,93,0,0,13293,0,74,254,66,1049,434
53600,298,17,1.5492659062753693,3.2732879160313364,6.490665704608429,10.04620822035721,40,97,0,0,12105,0,51,254,51,975,351
53700,301,21,1.5354046457744297,3.26571699182759,9.389397565649077,10.909116595551664,40,97,0,0,12978,0,117,275,54,1038,359
53800,283,22,1.5258611051427704,3.182054881109228,8.217439597834298,10.124098098865732,37,100,0,0,11678,0,53,180,52,947,316
53900,333,21,1.48790031918435,3.236544169245525,8.77078640420019,11.567034453855852,37,100,0,0,12941,0,70,231,54,1062,369
54000,295,17,1.5307267996924612,3.3578646273317334,8.14080194169436,10.179711466509065,40,97,0,0,12312,0,72,226,47,976,343
54100,320,16,1.518583467766705,3.2784348349120274,6.916016836004594,10.343413557478327,39,98,0,0,12907,0,78,263,71,1054,371
54200,296,25,1.529176545515153,3.2236175338679214,7.072414048627671,10.278731584076395,44,93,0,0,12770,0,63,324,80,997,332
54300,302,32,1.5340669256968602,3.1982659193231937,6.646562505519938,10.09820448789257,38,99,0,0,12357,0,56,292,68,974,348
54400,268,30,1.5547130038152936,3.3554745222098163,7.1814869917664055,10.528925654410946,42,95,0,0,12407,0,77,278,60,956,332
54500,328,34,1.5347486773616708,3.362841117302031,7.449898611020902,11.143395070357919,39,98,0,0,12722,0,82,270,47,1011,317
54600,316,16,1.5201510846377928,3.2481829347739803,6.77135301529732,9.67975590706537,36,101,0,0,12757,0,85,256,55,1098,337
54700,331,12,1.533708457689415,3.1969220261910065,7.6726671440926495,10.530582419660032,38,99,0,0,12353,0,61,238,49,1018,350
54800,313,16,1.5160281514739384,3.3305225449215383,6.662602533989922,9.419693977762865,38,99,0,0,12237,0,54,207,67,1017,372
54900,321,15,1.5234680668436027,3.2131802603122934,7.06008376623227,10.71195132216873,43,94,0,0,12670,0,88,275,65,1052,379
55000,313,22,1.5340066296649215,3.1848779637115547,5.414701640645214,9.920293469490606,39,98,0,0,12295,0,65,303,59,972,363
55100,318,10,1.5543099629397759,3.310795404930467,5.470482407857021,9.683087001148145,38,99,0,0,11423,0,58,261,64,934,336
55200,320,24,1.5202187055988778,3.1483229949874687,5.951770909216342,9.566233003924177,43,94,0,0,12362,0,59,290,71,965,365
55300,321,29,1.5243139114266335,3.2955783016003606,7.249856328827694,10.739840704831801,41,96,0,0,12453,0,63,298,45,976,332
55400,302,16,1.5145430292812023,3.355155216311934,6.72577187164438,10.084074110487038,40,97,0,0,12298,0,80,286,50,1046,276
