tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
12900,1240,71,1.6884181598938708,3.2508779925233613,7.091825637440811,11.196907186394876,170,330,0,0,49455,0,1.1223445072538063,321
13000,1254,74,1.6877883521109545,3.2547833440278695,7.794581092733469,11.77173541762171,159,341,0,0,50293,0,1.2492382047766497,341
13100,1248,57,1.6882253134263354,3.2490813815588098,7.462715724404185,11.581835538855417,172,328,0,0,49866,0,1.196895789937649,362
13200,1254,77,1.678484124520719,3.2239094578846252,7.495715723683821,11.504803762576175,166,334,0,0,49790,0,1.1781779031519855,298
13300,1264,73,1.6932029215173747,3.2382492920339088,7.143963608581671,11.41524583933467,172,328,0,0,49286,0,1.164898549617903,271
13400,1276,80,1.706103260985644,3.2445938782748676,7.448566400392748,11.701277106265675,172,328,0,0,50681,0,1.2243451749155683,333
13500,1283,60,1.6925908504028138,3.251442648032539,7.121898397423287,11.369284417733839,170,330,0,0,48549,0,1.1577174466939457,266
13600,1265,60,1.6847382614923732,3.2863343753087744,7.234328487380142,11.400765303820926,161,339,0,0,48698,0,1.1492262041154553,275
13700,1246,83,1.681843657499491,3.2595501136703358,7.938707719670642,11.781194154821605,168,332,0,0,50670,0,1.2359636429755942,364
13800,1278,81,1.6764211378641038,3.205016838138042,7.212651846156035,11.256742977026137,161,339,0,0,48548,0,1.1157909131668395,272
13900,1272,58,1.6632206307697661,3.25619669003709,6.78868106496084,10.924064295202196,161,339,0,0,48979,0,1.0820433407463321,262
14000,1289,45,1.6775635649313814,3.2598772396310975,7.217977166611152,11.426253905167393,157,343,0,0,47422,0,1.1252724600639636,261
14100,1288,54,1.6795822411069385,3.2769994363394694,6.5387373309498855,11.022244575692843,160,340,0,0,47451,0,1.0389194759332931,229
14200,1253,51,1.672747072559815,3.235787607186212,6.833286405587407,11.137658289312341,160,340,0,0,47974,0,1.0650659932418534,264
14300,1287,62,1.6639880970951628,3.240348625470603,6.364979675535087,10.758326608398828,156,344,0,0,47723,0,1.0057989989410088,224
14400,1268,72,1.6735361087865448,3.2468970735558083,7.383471360882969,11.217053586496569,164,336,0,0,50936,0,1.1861696888291198,306
14500,1270,76,1.6830122633193494,3.231930505386271,7.163954324083859,11.321383690086504,168,332,0,0,48904,0,1.1308025662960883,286
14600,1267,67,1.6884643100072136,3.2849020909669857,7.733898870600074,11.566778302693635,165,335,0,0,50606,0,1.2365002127549563,335
14700,1293,81,1.6867097224513716,3.260194520081576,7.81884213605695,11.8677128339198,162,338,0,0,49625,0,1.276241603557832,247
