tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size
7000,1318,177,1.4887984971945207,3.196754276595332,11.67485421203824,12.509647635511376,144,355,141,220,32997,291,4.381441343654508
7100,1304,186,1.4855486375519515,3.1878870976354095,11.446940134517666,12.220961711460077,146,353,142,225,33180,297,4.1824885050165115
7200,1328,199,1.4789161761975647,3.1761375328203987,11.299091536540777,12.269076979632295,144,355,141,219,33249,290,4.212090462346006
7300,1327,210,1.4719681417918984,3.1661796239886195,11.643835711502412,12.39445814590154,145,354,142,224,33306,282,4.317451976278099
7400,1307,202,1.476359161074646,3.181558251398918,10.987599559966545,12.029302576063515,146,353,143,230,33071,272,4.000369974622598
7500,1317,210,1.4761902445767006,3.1818998977333592,11.324150195662268,12.253715331463072,148,351,144,231,33252,298,4.242845427133766
7600,1302,231,1.4763991433592907,3.180470429843627,11.280307800480953,12.103767458258055,146,353,142,228,33000,289,4.076015418479802
7700,1309,218,1.4717463686428538,3.185206868748421,10.786246968753709,11.989364615140454,146,353,143,228,32926,276,3.9838698921673212
7800,1315,213,1.4757676039688448,3.1844553892050804,10.834684717327745,11.83550728028502,144,355,141,227,32835,308,3.952435769005803
7900,1308,207,1.4666216875173725,3.1865962912023247,11.321250422106681,12.020974187572788,144,355,141,228,32706,293,4.061458140709859
8000,1288,205,1.4624396428244595,3.1975431584323593,11.223419889780695,12.078335434941685,144,355,141,229,32166,289,4.023803235578146
8100,1307,195,1.4602411068365004,3.1738870935974433,11.032315523464293,11.912783303097205,145,354,143,231,32412,287,3.990030424449216
8200,1300,199,1.4603068016258625,3.159526830562174,10.973146969725303,11.884698472406498,144,355,142,234,32247,302,3.936962348110187
8300,1299,190,1.4502595041183408,3.177015569811397,11.045031066146382,11.96757459912706,143,356,140,230,31943,308,3.983381252240705
8400,1299,207,1.4556051634299334,3.174711365761902,10.737381375802181,11.82511015839197,145,354,143,236,32454,313,3.9478152682806167
8500,1299,178,1.4538646851108685,3.1777083789997986,11.188327032704922,12.197613348687893,140,359,138,224,32106,322,4.169589560152096
8600,1308,187,1.4729383327343073,3.187489930417685,11.450273169189126,12.303743959348349,144,355,142,234,32684,292,4.198148264043339
8700,1341,177,1.4564402996762391,3.17508920421359,11.453087102975712,12.361035930311035,145,354,143,234,32616,314,4.346069436722498
8800,1327,181,1.4560410600471452,3.163164537285005,11.033331157275596,12.187719989617142,143,357,141,232,32799,330,4.211552914476249
8900,1340,186,1.452067943702018,3.1679981779813406,11.193275163104778,12.270207820818458,143,356,141,230,32680,304,4.269892427955131
9000,1315,184,1.4526336318914854,3.1644286576571345,10.931569005320993,12.120725743738605,142,357,141,230,32529,292,4.129466935588592
9100,1319,178,1.449722779567508,3.1606330735859864,10.827326564249502,11.945329605012027,142,357,139,227,32566,313,4.083642088475548
9200,1328,188,1.4419753015354915,3.1608720961614463,11.346135074270627,12.296224442903055,144,355,143,239,32520,293,4.296578384255352
9300,1316,195,1.4440458457871548,3.1651855616785407,11.226926537450208,12.21309587533954,145,354,143,237,32439,287,4.172563689214096
9400,1324,187,1.4480104037669295,3.1640997306481182,11.183717530953768,12.069255390275059,143,356,140,234,32623,305,4.120612828696267
9500,1320,192,1.4462552255823757,3.1619122150049956,11.143399842902982,11.873245665175627,145,355,142,238,32552,291,4.096125778655196
9600,1321,194,1.4432006738533443,3.1723136620809487,11.259177567956094,12.07514267130691,144,356,141,233,32646,294,4.134117366781643
9700,1312,221,1.4406362340385903,3.1680013135298872,11.097551174062799,11.845192331014117,145,354,143,240,32813,258,3.9892864446990104
9800,1309,208,1.4445441520939957,3.171682406672107,11.351494249173747,12.163930006512912,147,352,145,242,32558,301,4.189552295220272
9900,1305,211,1.4405591841659864,3.1694288771397088,11.144206575709061,11.860235407171126,142,357,140,233,32436,280,3.961564200268416
