FROM,Cap,Role,TO,Distance
193,2.00,class Agent.Leader,445,1
193,2.00,class Agent.Leader,412,1
193,2.00,class Agent.Leader,473,1
426,3.00,class Agent.Leader,120,2
426,3.00,class Agent.Leader,393,1
426,3.00,class Agent.Leader,101,2
426,3.00,class Agent.Leader,335,1
14,4.33,class Agent.Leader,111,1
14,4.33,class Agent.Leader,87,1
14,4.33,class Agent.Leader,355,1
14,4.33,class Agent.Leader,391,1
169,3.67,class Agent.Leader,498,1
169,3.67,class Agent.Leader,431,1
169,3.67,class Agent.Leader,307,2
72,2.33,class Agent.Leader,443,2
72,2.33,class Agent.Leader,307,2
72,2.33,class Agent.Leader,229,1
72,2.33,class Agent.Leader,105,2
470,4.00,class Agent.Leader,116,1
470,4.00,class Agent.Leader,358,1
470,4.00,class Agent.Leader,124,1
470,4.00,class Agent.Leader,301,2
470,4.00,class Agent.Leader,201,1
162,3.33,class Agent.Leader,269,1
162,3.33,class Agent.Leader,8,2
162,3.33,class Agent.Leader,284,1
162,3.33,class Agent.Leader,234,1
444,2.00,class Agent.Leader,240,2
444,2.00,class Agent.Leader,48,1
444,2.00,class Agent.Leader,468,2
20,1.67,class Agent.Leader,409,2
44,3.67,class Agent.Leader,131,2
44,3.67,class Agent.Leader,297,1
44,3.67,class Agent.Leader,268,1
44,3.67,class Agent.Leader,488,1
44,3.67,class Agent.Leader,492,1
236,3.33,class Agent.Leader,478,1
236,3.33,class Agent.Leader,75,1
236,3.33,class Agent.Leader,200,1
236,3.33,class Agent.Leader,463,1
496,2.00,class Agent.Leader,427,1
496,2.00,class Agent.Leader,77,1
496,2.00,class Agent.Leader,94,1
496,2.00,class Agent.Leader,251,1
38,3.33,class Agent.Leader,430,2
38,3.33,class Agent.Leader,117,1
38,3.33,class Agent.Leader,234,3
38,3.33,class Agent.Leader,119,1
261,4.00,class Agent.Leader,198,2
261,4.00,class Agent.Leader,93,2
261,4.00,class Agent.Leader,180,1
261,4.00,class Agent.Leader,195,1
282,4.00,class Agent.Leader,197,1
282,4.00,class Agent.Leader,491,1
282,4.00,class Agent.Leader,17,1
349,3.00,class Agent.Leader,495,3
349,3.00,class Agent.Leader,120,2
83,1.67,class Agent.Leader,31,3
83,1.67,class Agent.Leader,141,2
83,1.67,class Agent.Leader,388,1
83,1.67,class Agent.Leader,448,1
217,3.33,class Agent.Leader,310,1
217,3.33,class Agent.Leader,364,1
217,3.33,class Agent.Leader,380,1
217,3.33,class Agent.Leader,171,1
217,3.33,class Agent.Leader,34,1
428,2.67,class Agent.Leader,389,1
428,2.67,class Agent.Leader,104,1
428,2.67,class Agent.Leader,73,1
428,2.67,class Agent.Leader,393,1
332,2.00,class Agent.Leader,325,1
332,2.00,class Agent.Leader,280,1
332,2.00,class Agent.Leader,482,2
425,3.33,class Agent.Leader,385,1
425,3.33,class Agent.Leader,24,1
425,3.33,class Agent.Leader,457,1
425,3.33,class Agent.Leader,57,2
327,1.33,class Agent.Leader,434,2
327,1.33,class Agent.Leader,69,2
327,1.33,class Agent.Leader,204,1
327,1.33,class Agent.Leader,235,1
327,1.33,class Agent.Leader,424,1
224,3.67,class Agent.Leader,478,2
224,3.67,class Agent.Leader,200,2
404,2.33,class Agent.Leader,177,2
404,2.33,class Agent.Leader,140,1
404,2.33,class Agent.Leader,79,1
404,2.33,class Agent.Leader,49,1
173,4.00,class Agent.Leader,24,1
173,4.00,class Agent.Leader,142,1
173,4.00,class Agent.Leader,467,1
487,2.00,class Agent.Leader,166,1
487,2.00,class Agent.Leader,488,2
487,2.00,class Agent.Leader,468,1
342,2.33,class Agent.Leader,279,1
342,2.33,class Agent.Leader,84,1
342,2.33,class Agent.Leader,179,2
342,2.33,class Agent.Leader,410,3
23,2.67,class Agent.Leader,497,2
23,2.67,class Agent.Leader,182,1
23,2.67,class Agent.Leader,142,1
23,2.67,class Agent.Leader,196,1
23,2.67,class Agent.Leader,391,1
324,2.67,class Agent.Leader,442,2
324,2.67,class Agent.Leader,321,1
324,2.67,class Agent.Leader,480,2
324,2.67,class Agent.Leader,149,1
33,2.67,class Agent.Leader,300,1
33,2.67,class Agent.Leader,190,1
33,2.67,class Agent.Leader,343,1
33,2.67,class Agent.Leader,368,1
165,2.67,class Agent.Leader,351,2
165,2.67,class Agent.Leader,453,2
165,2.67,class Agent.Leader,417,1
92,2.00,class Agent.Leader,323,1
92,2.00,class Agent.Leader,321,2
92,2.00,class Agent.Leader,369,1
92,2.00,class Agent.Leader,63,1
92,2.00,class Agent.Leader,330,1
451,2.00,class Agent.Leader,475,2
451,2.00,class Agent.Leader,310,1
451,2.00,class Agent.Leader,422,1
356,2.67,class Agent.Leader,489,1
356,2.67,class Agent.Leader,133,1
356,2.67,class Agent.Leader,280,1
356,2.67,class Agent.Leader,377,1
118,1.67,class Agent.Leader,69,2
118,1.67,class Agent.Leader,70,1
80,3.33,class Agent.Leader,394,2
80,3.33,class Agent.Leader,202,1
374,2.00,class Agent.Leader,460,1
374,2.00,class Agent.Leader,385,1
374,2.00,class Agent.Leader,409,2
374,2.00,class Agent.Leader,290,1
416,2.67,class Agent.Leader,499,1
416,2.67,class Agent.Leader,276,1
416,2.67,class Agent.Leader,403,1
416,2.67,class Agent.Leader,410,2
238,1.33,class Agent.Leader,24,1
238,1.33,class Agent.Leader,135,1
238,1.33,class Agent.Leader,140,1
238,1.33,class Agent.Leader,88,2
167,3.00,class Agent.Leader,421,2
167,3.00,class Agent.Leader,348,2
167,3.00,class Agent.Leader,191,1
167,3.00,class Agent.Leader,476,1
185,3.67,class Agent.Leader,247,2
185,3.67,class Agent.Leader,485,2
185,3.67,class Agent.Leader,13,2
401,2.67,class Agent.Leader,295,2
401,2.67,class Agent.Leader,67,1
401,2.67,class Agent.Leader,125,1
401,2.67,class Agent.Leader,172,2
274,3.67,class Agent.Leader,258,2
274,3.67,class Agent.Leader,78,1
274,3.67,class Agent.Leader,279,1
274,3.67,class Agent.Leader,28,1
274,3.67,class Agent.Leader,106,1
138,3.00,class Agent.Leader,314,1
138,3.00,class Agent.Leader,47,2
138,3.00,class Agent.Leader,305,1
138,3.00,class Agent.Leader,438,2
2,2.33,class Agent.Member,374,2
2,2.33,class Agent.Member,408,1
58,3.67,class Agent.Member,217,2
206,2.33,class Agent.Member,16,2
393,3.33,class Agent.Member,426,1
393,3.33,class Agent.Member,428,1
393,3.33,class Agent.Member,360,2
182,3.33,class Agent.Member,108,1
182,3.33,class Agent.Member,23,1
319,3.00,class Agent.Member,383,1
319,3.00,class Agent.Member,151,1
319,3.00,class Agent.Member,209,1
40,3.67,class Agent.Member,60,1
192,3.00,class Agent.Member,490,2
192,3.00,class Agent.Member,167,2
168,3.67,class Agent.Member,241,1
168,3.67,class Agent.Member,486,2
168,3.67,class Agent.Member,127,2
105,3.00,class Agent.Member,382,2
105,3.00,class Agent.Member,72,2
105,3.00,class Agent.Member,315,1
