tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member
38800,1482,0,1.423371123233489,2.835388654356949,4.605350949372163,8.749265507662034,169,331,0,0,38805,0,129,5641
38900,1498,0,1.4232244228318722,2.8190259901315615,4.516666891035091,8.68758658169541,161,339,0,0,38217,0,95,5446
39000,1419,0,1.424562900293914,2.8424999389625913,4.156772689712428,8.31136800788733,171,329,0,0,37822,0,98,5436
39100,1530,0,1.4160459623733823,2.82082844865535,4.7159531165264745,8.837601499436847,170,330,0,0,39549,0,129,5651
39200,1403,0,1.4429351601709877,2.8076623728387933,4.335046310397025,8.491413350919542,166,334,0,0,37659,0,111,5398
39300,1460,0,1.416828286700295,2.8197161671215842,4.62588161802975,8.725277031098397,161,339,0,0,37394,0,103,5391
39400,1448,0,1.413999253029976,2.811601865680095,4.299481299721838,8.395344086531415,184,316,0,0,39113,0,125,5584
39500,1503,0,1.4259942324688848,2.838487690042969,5.014159348160615,9.13944505652245,161,339,0,0,38981,0,133,5632
39600,1481,0,1.408425502862194,2.8314657135396475,4.380164859536787,8.494520703023246,168,332,0,0,37780,0,101,5462
39700,1511,0,1.4142659868805554,2.8256614136891,4.346799159260723,8.464988700023792,158,342,0,0,39694,0,109,5667
39800,1508,0,1.4035248764896304,2.83637716095194,4.464108253445283,8.514295875693316,158,342,0,0,39554,0,116,5681
39900,1512,0,1.418767073894169,2.8511094719132775,4.796783422957581,8.9445403557605,173,327,0,0,39146,0,112,5622
40000,1485,0,1.4227111406887796,2.8486799766938025,4.68704181475916,8.776480413131798,164,336,0,0,38595,0,140,5525
40100,1496,0,1.4182599152568982,2.8570642841116016,4.545129857020927,8.662665817465136,176,324,0,0,39258,0,121,5632
40200,1518,0,1.4284132535003644,2.8496064864268607,4.182565877689702,8.375687219551644,170,330,0,0,38653,0,87,5534
40300,1512,0,1.410785742917426,2.8164049822964996,4.69106073451283,8.669708575833988,164,336,0,0,39435,0,148,5701
40400,1474,0,1.4078938885091503,2.8022417626206897,3.963865436565265,8.008646355050814,168,332,0,0,38463,0,118,5523
40500,1483,0,1.4091060833905926,2.8277341298888556,4.341927722598362,8.392161298857296,169,331,0,0,38560,0,107,5552
40600,1476,0,1.4122480121450298,2.860242309784037,4.825289326805391,8.874339091856287,176,324,0,0,39532,0,145,5673
40700,1511,0,1.4210876695141779,2.8197649683860475,4.194470646799967,8.352257842477632,172,328,0,0,38101,0,89,5485
40800,1529,0,1.4052348948113105,2.8622228825009177,5.068318642017521,9.141938563189624,175,325,0,0,40450,0,121,5772
40900,1506,0,1.404262975547942,2.842212080804465,4.886295150576812,8.956438863296611,173,327,0,0,38700,0,134,5579
41000,1503,0,1.4077552989699944,2.785042672321816,4.567540151342869,8.578986125610667,161,339,0,0,39170,0,132,5638
41100,1455,0,1.4187477557864334,2.8182472211150555,4.415335208776697,8.429686183981172,161,339,0,0,38585,0,111,5509
