tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
4000,61,4,1.8830023787817023,1.4641666666666668,5.188952380952378,6.4237142857142855,46,83,40,105,3,123
4100,68,2,1.8286226594343433,1.469142857142857,5.304166666666665,6.771976190476192,46,83,44,106,3,127
4200,51,0,1.908983576302653,1.702547619047619,5.564500000000001,6.681761904761904,46,83,29,94,6,100
4300,63,0,1.8345857714122316,1.7334285714285715,5.4556666666666676,6.949642857142855,47,82,48,110,1,135
4400,68,1,1.8691831856932444,1.4181190476190477,5.4234285714285715,6.826738095238096,46,83,51,105,2,117
4500,46,1,1.8890026551221817,1.6203333333333336,4.6695,6.331666666666666,44,85,19,73,4,110
4600,59,1,1.886366471791061,1.3054365079365082,4.283571428571429,6.183896825396825,47,82,35,105,6,131
4700,57,0,1.8653824321409707,1.3248333333333333,4.669666666666666,6.351333333333331,45,84,43,90,2,101
4800,50,2,1.8553030136592772,1.6691904761904754,6.050119047619048,6.645666666666666,46,83,32,78,1,108
4900,59,2,1.8395618848357151,1.5645357142857141,4.927869047619048,7.17277380952381,46,83,37,93,2,141
5000,56,1,1.8529848165420126,1.6403571428571422,5.160214285714285,6.4366190476190495,46,83,35,98,1,114
5100,54,0,1.906095373141038,1.6763333333333332,5.843333333333333,6.799666666666668,45,84,39,95,3,94
5200,48,2,1.9116471689880177,1.825238095238095,5.08602380952381,6.625035714285716,47,82,39,94,3,102
5300,63,4,1.8571825141797624,1.4497142857142855,5.6386666666666665,7.246380952380953,46,83,40,117,4,139
5400,63,0,1.8271977739040046,1.2466944444444445,5.660496031746033,6.226686507936507,46,83,48,110,3,115
5500,64,2,1.7821228401086224,1.3345079365079366,4.621547619047619,6.6536269841269835,46,83,42,120,8,123
5600,50,3,1.8376027744294177,1.5190238095238098,5.103285714285713,6.5449166666666665,46,83,29,77,2,124
5700,65,2,1.7916993668276748,1.3865198412698414,5.300642857142858,6.559619047619048,46,83,32,114,2,153
5800,64,2,1.7827545588329259,1.4235357142857143,5.900083333333335,6.857642857142858,46,83,39,115,3,134
5900,53,1,1.8091815022288018,1.4605714285714284,5.8829285714285735,6.533095238095237,44,85,35,99,3,107
6000,40,0,1.8176464668977954,1.7223333333333333,5.8469999999999995,6.162166666666667,44,85,22,84,4,63
6100,52,2,1.8366351746311194,1.4811666666666665,5.125666666666666,6.188666666666666,45,84,31,113,3,81
6200,57,1,1.82784134172743,1.6515714285714285,5.286142857142855,6.541285714285716,47,82,41,115,1,108
6300,70,3,1.7868942245528694,1.3606428571428573,5.052309523809524,6.788571428571427,46,83,38,121,5,127
6400,57,1,1.8029638001583346,1.5685952380952382,6.645928571428571,7.223428571428573,47,82,33,115,2,115
6500,65,1,1.77704453915746,1.282666666666667,4.800416666666666,6.450952380952382,46,83,30,115,2,138
6600,64,2,1.7698507899557265,1.3793809523809526,5.014440476190476,6.731559523809525,46,83,44,110,1,123
6700,60,0,1.7782054269449776,1.2402499999999999,5.275047619047619,6.376142857142855,47,82,45,113,3,125
6800,70,1,1.7930921001824895,1.3494880952380952,5.323607142857144,7.348642857142858,47,82,36,129,1,154
6900,62,2,1.789441328955818,1.5941904761904764,5.798761904761904,7.1570238095238095,45,84,38,95,4,122
7000,48,1,1.7437492771811076,1.2745238095238098,3.5829999999999997,5.967761904761904,45,84,24,80,0,123
7100,56,1,1.76901547348573,1.6950238095238093,5.164583333333333,6.311488095238096,46,83,33,100,2,103
7200,66,2,1.7622726571513179,1.4133809523809524,5.292119047619048,6.941880952380952,45,84,39,116,6,118
7300,54,0,1.7519766529648364,1.5778095238095238,5.253714285714285,6.588714285714286,46,83,44,108,5,104
7400,57,1,1.7619697882179666,1.4165952380952382,4.999071428571428,7.008880952380954,46,83,48,104,11,117
7500,56,1,1.7932366833098425,1.674440476190476,5.964714285714285,7.248440476190476,47,82,38,117,2,119
7600,70,0,1.7509865736882906,1.4302261904761906,5.195265873015874,6.992861111111112,47,82,45,127,2,133
7700,66,0,1.6870526186494217,1.3035634920634924,4.291428571428571,6.562246031746032,46,83,37,114,3,135
7800,59,1,1.7165412322356741,1.53925,5.453833333333335,6.9993333333333325,46,83,38,102,0,141
7900,64,1,1.7267898986106645,1.1643095238095238,3.861238095238095,6.434809523809525,46,83,38,105,2,128
8000,67,0,1.7623557103738998,1.4434841269841272,4.5004920634920635,6.490134920634921,47,82,45,126,3,129
8100,53,1,1.7523449424742044,1.8666785714285716,5.3277738095238085,6.563904761904763,44,85,34,100,3,90
8200,47,2,1.7660146845391826,1.5459166666666666,4.363499999999999,6.127000000000001,46,83,42,97,3,90
8300,67,1,1.7682543591580957,1.3389047619047618,5.012722222222222,6.985952380952382,46,83,43,128,2,126
8400,66,3,1.7551393094353427,1.7089444444444448,5.2764999999999995,7.16766666666667,46,83,42,124,1,129
8500,52,0,1.7272960539829305,1.4943333333333337,4.989999999999999,6.298499999999999,46,83,31,88,3,104
8600,66,0,1.7159955166134822,1.383190476190476,5.333309523809525,6.893619047619048,47,82,47,122,6,134
8700,69,1,1.734652990769287,1.4581428571428576,5.978749999999999,7.336738095238096,47,82,47,130,3,139
8800,72,2,1.7623337536267414,1.3455873015873017,5.4494523809523825,7.148761904761902,47,82,47,128,5,134
8900,62,2,1.8303131117833171,1.5460952380952384,4.184952380952382,6.984476190476189,46,83,42,117,2,120
9000,68,1,1.7769244595174838,1.4273333333333336,4.634904761904761,6.86590476190476,46,83,42,127,5,133
9100,62,3,1.7379249269955104,1.5084166666666663,5.205500000000001,6.286833333333334,47,82,44,115,2,111
9200,70,2,1.764072698226202,1.2159761904761905,5.735630952380953,7.013880952380954,47,82,42,132,7,135
9300,65,1,1.7377376760619896,1.3259166666666673,4.678559523809523,6.8956309523809525,46,83,42,117,5,137
9400,63,1,1.7198256956550964,1.642,5.693833333333332,7.024333333333334,47,82,30,121,3,128
9500,68,3,1.749171929193139,1.5921190476190474,5.740142857142858,7.1192857142857155,46,83,42,130,2,142
9600,61,1,1.7598614932267056,1.478452380952381,4.723738095238096,6.611702380952381,46,83,45,107,4,117
9700,55,1,1.7340358736235288,1.6541666666666668,6.637000000000001,7.1723333333333334,46,83,38,116,3,99
9800,64,0,1.7256891580604485,1.3540238095238097,5.28797619047619,6.44897619047619,47,82,44,110,3,120
9900,67,4,1.7298222435569839,1.1872857142857143,4.327166666666667,6.8006190476190485,47,82,40,130,2,136
10000,72,1,1.732948913621457,1.3369682539682541,6.063174603174603,6.946603174603176,46,83,48,138,6,139
10100,51,2,1.746483336757401,1.4647857142857144,6.141293650793649,6.298111111111111,46,83,37,107,2,82
10200,58,2,1.7651315620369314,1.3293571428571431,5.2908333333333335,6.419250000000001,46,83,36,103,5,100
10300,62,4,1.7532624258133402,1.2920476190476193,5.028452380952381,6.710059523809525,46,83,40,116,6,130
10400,58,2,1.68781774733759,1.6256666666666666,6.170333333333332,6.6595,45,84,26,107,4,123
10500,53,2,1.7330851990867282,1.7818463203463208,6.6288235930735935,6.760774891774889,45,84,31,100,5,102
10600,52,3,1.7279952196739117,1.706690476190476,5.305166666666667,6.374309523809525,45,84,36,102,4,88
10700,53,0,1.7141855714846803,1.4122142857142859,4.780678571428572,6.097642857142858,45,84,35,103,2,105
10800,62,3,1.7068269617447576,1.5007857142857142,5.141634920634919,6.8309126984127,47,82,44,109,3,126
10900,72,0,1.6888713862155778,1.426857142857143,5.112464285714285,6.846214285714286,46,83,42,127,3,134
11000,59,0,1.7059938530172003,1.5908928571428569,4.999642857142857,6.575809523809523,46,83,37,114,2,117
11100,66,0,1.7225923244351822,1.6229444444444443,4.777444444444446,6.855305555555556,46,83,40,127,2,122
11200,60,3,1.719068322740259,1.4941904761904763,4.9155476190476195,6.774226190476189,47,82,39,119,3,113
11300,68,1,1.7264770812545518,1.3496666666666663,5.430833333333332,6.677499999999998,47,82,43,124,4,121
11400,62,0,1.7217156024526565,1.5824285714285715,5.3645000000000005,6.72754761904762,45,84,31,111,7,140
11500,45,0,1.7354192149224672,1.5609999999999997,5.932666666666666,6.096166666666667,44,85,15,71,0,107
11600,50,1,1.718722432033936,1.6285357142857142,6.20034523809524,6.3656428571428565,47,82,29,96,5,111
11700,67,1,1.6980328874518702,1.4545357142857143,5.290186507936508,6.994579365079364,47,82,42,130,3,140
11800,63,1,1.730402674121443,1.6047380952380956,5.238547619047622,6.987857142857145,45,84,38,116,6,112
11900,58,1,1.7272922752264708,1.4695833333333332,5.186333333333332,6.756500000000001,47,82,34,102,1,130
12000,58,0,1.7583681605518995,1.4505238095238095,4.8365833333333335,6.521821428571428,45,84,43,118,3,108
12100,57,1,1.6961778083888461,1.5296666666666667,5.3081666666666685,6.618166666666668,46,83,41,104,1,111
12200,62,1,1.7516974662272282,1.5256388888888888,4.246027777777778,6.614666666666667,47,82,44,108,2,105
12300,58,1,1.7352497680446946,1.411369047619048,4.627130952380952,6.353583333333335,45,84,23,118,4,112
12400,60,0,1.6900459761191586,1.7030476190476187,5.519404761904761,6.61247619047619,45,84,23,110,2,120
12500,56,1,1.667843452202561,1.8844166666666664,5.333904761904762,6.850976190476191,47,82,21,108,7,118
12600,63,1,1.6905710219371053,1.4660000000000002,5.003142857142857,6.569047619047621,45,84,39,117,5,123
12700,55,3,1.6852983414515703,1.7273333333333334,5.902261904761905,6.667738095238096,47,82,19,98,4,122
12800,69,1,1.7410570883476868,1.4293809523809522,4.9835119047619045,6.704166666666664,47,82,40,133,2,130
12900,62,1,1.7454375723456363,1.7793571428571429,6.348630952380952,6.9105952380952385,46,83,34,125,2,106
13000,67,1,1.6826861546610306,1.6633293650793652,5.227297619047619,6.974289682539682,47,82,30,121,5,136
13100,67,0,1.6918629818137685,1.3216666666666668,5.5245,6.893666666666668,47,82,45,131,3,138
13200,73,1,1.7290871185965508,1.220940476190476,4.685488095238096,6.841202380952381,47,82,44,139,2,136
13300,60,2,1.759602105507631,1.6812142857142858,5.038714285714287,6.996904761904762,46,83,43,106,4,110
13400,58,1,1.683566401850862,1.7020833333333334,5.917416666666668,6.859833333333333,44,85,33,112,6,123
13500,48,1,1.6947230771522572,1.6494999999999995,5.162833333333333,6.872166666666667,46,83,24,85,3,106
13600,53,1,1.7047779903000821,1.434583333333333,5.501916666666667,6.6179999999999986,46,83,21,95,3,130
13700,59,1,1.6554462485540835,1.5183968253968252,5.399876984126986,6.656464285714286,46,83,22,117,5,121
13800,58,0,1.6981998923258823,1.609333333333333,4.7207380952380955,6.950952380952382,45,84,25,112,3,135
13900,46,0,1.7317535578345897,1.6521666666666668,6.473000000000001,6.421166666666668,45,84,15,84,0,107
14000,49,0,1.6720098199984486,1.8863333333333336,5.713166666666667,6.22975,44,85,17,100,2,81
14100,42,3,1.6614822018445254,1.6453333333333333,5.425833333333333,5.421166666666668,44,85,27,84,4,79
14200,38,0,1.6520991514126322,1.4626666666666668,4.757999999999998,5.564166666666666,44,85,25,76,3,75
14300,46,2,1.6554334376347324,1.3406666666666667,5.357666666666667,5.586666666666666,45,84,15,92,3,74
14400,52,2,1.6843591097051822,1.6743333333333335,5.6035,6.569500000000001,46,83,38,113,2,88
14500,61,0,1.6987141710818505,1.6014285714285716,5.421523809523811,6.590880952380951,46,83,41,120,3,98
14600,52,2,1.7178769893964734,1.7035357142857144,4.513107142857143,6.176214285714286,45,84,37,110,2,87
14700,52,2,1.708017256645462,1.714642857142857,4.942214285714285,6.3066666666666675,44,85,36,111,1,90
14800,45,1,1.682621881873017,1.6130238095238092,5.27452380952381,5.983928571428571,46,83,26,82,0,100
14900,52,0,1.7130387796052728,1.3824126984126985,5.096960317460319,6.607682539682539,46,83,44,99,5,97
15000,66,3,1.7096394946739053,1.261952380952381,4.34997619047619,6.665619047619048,46,83,40,125,3,134
15100,61,0,1.7294139534313828,1.5063333333333335,4.856166666666666,6.661999999999999,47,82,37,105,3,110
15200,58,1,1.6722042110763784,1.6428690476190468,4.922428571428571,6.785488095238094,46,83,43,110,4,118
15300,64,0,1.6902611818624913,1.4069999999999998,4.207750000000001,6.650333333333334,45,84,48,128,3,115
15400,54,2,1.734925302909727,1.5347142857142853,4.521357142857143,6.2352380952380955,46,83,42,103,1,90
15500,60,0,1.732702690012681,1.638547619047619,5.159690476190476,6.945904761904762,47,82,44,114,0,115
15600,65,2,1.7019047884296423,1.6064285714285718,4.8723333333333345,6.769809523809524,46,83,43,127,2,115
15700,61,1,1.7115304089933538,1.5275238095238097,5.160761904761905,6.6385476190476185,47,82,39,131,2,121
15800,67,0,1.6999935848222092,1.198940476190476,4.2121547619047615,6.73479761904762,47,82,42,130,2,128
15900,74,1,1.7157960304407383,1.4703492063492067,5.252603174603175,6.809492063492064,47,82,36,136,1,136
